"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 24 18:33:32 UTC 2023","Sun Dec 24 18:33:45 UTC 2023","12320","","Login","","","","Registration with valid credentials",""
"passed","Sun Dec 24 18:33:32 UTC 2023","Sun Dec 24 18:33:33 UTC 2023","1096","","Drag","","","","""before each"" hook for Drag",""
"passed","Sun Dec 24 18:34:07 UTC 2023","Sun Dec 24 18:34:08 UTC 2023","117","","Drag","","","","""after each"" hook for Drag",""
"passed","Sun Dec 24 18:33:45 UTC 2023","Sun Dec 24 18:33:55 UTC 2023","9966","","Login","","","","Registration with invalid credentials",""
"passed","Sun Dec 24 18:34:05 UTC 2023","Sun Dec 24 18:34:12 UTC 2023","7653","","Login","","","","Login with invalid credentials",""
"passed","Sun Dec 24 18:34:12 UTC 2023","Sun Dec 24 18:34:12 UTC 2023","131","","Login","","","","""after each"" hook for Login",""
"passed","Sun Dec 24 18:34:05 UTC 2023","Sun Dec 24 18:34:08 UTC 2023","3190","","Login","","","","""before each"" hook for Login",""
"passed","Sun Dec 24 18:33:32 UTC 2023","Sun Dec 24 18:34:07 UTC 2023","35341","","Drag","","","","Drag and drop",""
"passed","Sun Dec 24 18:33:55 UTC 2023","Sun Dec 24 18:34:05 UTC 2023","9644","","Login","","","","Login with valid credentials",""
